Depth,Resistivity,Gamma Ray,Total Porosity,Bulk Density,Actual Poisson Ratio(u),Actual Young Modulus(E),Predicted Poisson Ratio(u),Predicted Young Modulus(E)
6949.224362,0.044295936,0.289498022,0.4513986,0.549197213,0.236582599,4745037.368,0.245938323,4646347.313
6950,0.050860341,0.284677285,0.361360101,0.562153941,0.24356072,4817798.589,0.243704162,4677856.959
6950.10987,0.050193655,0.284214259,0.356427795,0.573104123,0.245296548,4843187.864,0.248199218,4689804.807
6950.176338,0.049790329,0.283934142,0.353443892,0.579728673,0.246346675,4858547.657,0.249512255,4742270.788
6951,0.045172658,0.293836635,0.340617824,0.654238255,0.254190687,5033943.122,0.254004432,5217664.92
6951.19307,0.043229667,0.300165294,0.344452947,0.655870085,0.251983205,5040576.12,0.256253872,5083366.847
6951.5,0.039531458,0.310521372,0.350174087,0.661319836,0.248866417,5057476.166,0.257160718,5119328.898
6952,0.042181512,0.32318954,0.36484184,0.629547777,0.238201419,4994536.781,0.246428624,4981222.5
6952.5,0.055813397,0.321797209,0.398399881,0.603479005,0.226987137,4918655.95,0.231305461,4882261.947
6953.363454,0.064035328,0.30154721,0.437682897,0.612060963,0.213825309,4867068.408,0.224797053,4882286.246
6953.984242,0.066056505,0.295731686,0.464065427,0.613335755,0.209245629,4842801.576,0.217426182,4837668.922
6954.936218,0.057859426,0.304225305,0.477399748,0.589372406,0.219792905,4862815.199,0.226141633,4816584.385
6955.315605,0.050400024,0.302664771,0.45624851,0.620257242,0.229027752,4931907.273,0.247829898,4912962.61
6955.5,0.046829795,0.301664571,0.44425513,0.637960125,0.233745952,4968718.665,0.240958893,4899546.188
6956.148805,0.049533747,0.296038286,0.369990723,0.680282423,0.240632651,5010348.888,0.248560993,5103091.742
6957.792146,0.074500564,0.311792218,0.528341877,0.432630969,0.208497974,4561235.326,0.212384466,4491527.044
6958.268134,0.067750824,0.30510934,0.586570531,0.41554542,0.207864128,4530737.786,0.209066083,4349447.239
6959.696098,0.054998498,0.301102494,0.603597452,0.49538394,0.222925659,4622434.54,0.224157292,4624566.619
6961,0.057839867,0.309919873,0.524112897,0.495140325,0.221432639,4553296.576,0.223241008,4579705.643
6961.172057,0.05782911,0.311469839,0.543996553,0.487576196,0.220564358,4539763.743,0.220590087,4590698.392
6961.822774,0.060038275,0.313035287,0.623165299,0.466270971,0.216773153,4497318.607,0.217401225,4520329.814
6962.343474,0.06100363,0.30550886,0.661955302,0.474549926,0.214279672,4496114.15,0.215490913,4436142.609
6962.5,0.06133571,0.302828016,0.675383362,0.47767401,0.213235319,4495957.12,0.214801548,4465067.464
6963.5,0.052274122,0.277362168,0.568931032,0.577505287,0.225350656,4645567.394,0.232292606,4639771.984
6964,0.049520832,0.268750709,0.502703904,0.622561251,0.237043144,4779927.684,0.24333648,4748312.011
